Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,packet_event,packet_event_retry,packet_event_vn,packet_event_0rtt,packet_event_coal_0rtt,frame.stream,ivy_error,implementation_error,app_send_event,tls_recv_event,recv_packet,recv_packet_retry,handshake_done,tls.finished,recv_packet_vn,recv_packet_0rtt,undecryptable_packet_event,version_not_found_event,NbPktSend,isPass,version_not_found
0,quinn,server,quic_server_test_0rtt,,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/0/quic_server_test_0rtt0.iev,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1.0,0.0,0.0
1,quinn,server,quic_server_test_0rtt,,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/1/quic_server_test_0rtt1.iev,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1.0,0.0,0.0
2,quinn,server,quic_server_test_0rtt,,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/2/quic_server_test_0rtt2.iev,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1.0,0.0,0.0
3,quinn,server,quic_server_test_0rtt,,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/3/quic_server_test_0rtt3.iev,19,0,0,0,1,8,0,0,0,61,27,0,0,4,0,0,4,,43.0,0.0,0.0
4,quinn,server,quic_server_test_0rtt,,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/4/quic_server_test_0rtt4.iev,26,0,0,0,1,13,0,0,0,72,43,0,0,4,0,0,0,,66.0,1.0,0.0
5,quinn,server,quic_server_test_0rtt,,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/5/quic_server_test_0rtt5.iev,28,0,0,0,1,11,0,0,0,70,40,0,0,4,0,0,2,,65.0,1.0,0.0
6,quinn,server,quic_server_test_0rtt,,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/6/quic_server_test_0rtt6.iev,27,0,0,0,1,8,0,0,0,92,35,0,0,4,0,0,4,,59.0,1.0,0.0
7,quinn,server,quic_server_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/7/quic_server_test_0rtt7.iev,24,0,0,0,1,12,1,0,0,29,39,0,0,4,0,0,0,,58.0,0.0,0.0
8,quinn,server,quic_server_test_0rtt,,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/8/quic_server_test_0rtt8.iev,24,0,0,0,1,9,0,0,0,87,35,0,0,4,0,0,0,,54.0,1.0,0.0
9,quinn,server,quic_server_test_0rtt,,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/9/quic_server_test_0rtt9.iev,24,0,0,0,1,10,0,0,0,86,34,0,0,4,0,0,0,,55.0,1.0,0.0
10,quinn,server,quic_server_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/10/quic_server_test_0rtt10.iev,23,0,0,0,1,9,1,0,0,41,25,0,0,4,0,0,0,,43.0,0.0,0.0
